Index,Type,Text
1,A,"The saying data is the new gold could not be more accurate in our current society. Major multinational technology companies such as Google, Amazon, and Facebook collect countless data on our interests, connections, shopping patterns, and interaction with websites, images, videos, etc. Take Facebook algorithms. They are designed to collect user data and determine the best content. Through advancements in computing technology, companies use algorithms to determine similarities in people's interests and share content that reflects those interests. These companies create blueprints of our identities to influence our mental patterns and generate content that will keep us on their apps/websites. More time spent on these apps results in companies collecting more data and making even more accurate algorithms. This has a significant effect on our lives as the content that we consume on a daily basis alters our perspectives. We begin to amplify our beliefs in certain ideas and fail to accept new ideas. There is also the issue of censoring on large platforms that can significantly impact the types of content we consume.

The iPhone is a great example of AI's ability to alter our way of life. When I was younger, iPhones had not yet been created, and actions that are now commonplace were done manually. People shipped letters and postcards to loved ones and friends using postal services, vacation routes were carefully mapped on physical maps, and applications such as Zoom and Skype were in the early stages of development. We spoke with family members using the landline and could only see their faces when visiting them in person. Now, I can call and text people around the globe by simply opening Whatsapp and requesting a video call. Everything is automated and easy. 
Amazon is another good example of the power of algorithms. My buying patterns are tracked, and new items are recommended on my account and other websites to encourage further purchasing."
2,A,"The presence of data, artificial intelligence, and computing is constantly becoming more apparent in our lives. From the moment we wake up, we rely on the information provided to inform us how to go about our day. Data collected on the weather ranges in severity, from how to schedule our daily activities to when to take shelter when necessary. Likewise, all the news we receive, both locally and globally, is collected, compiled, and organized in levels of importance. The styles we wear, the products we buy, and even the opinions we make on what is ""trendy"" vs. what is ""outdated"" result from the intersection of these tools. Although some types of artificial intelligence and the use of data are prevalent, such as tailored advertisements, facial recognition in smartphones, or self-driving cars, there are other more subtle uses of these technologies. One I had not considered before this class was how mapping apps use our location to let other users know the level of traffic on a given route. As humans, we act as computers crunching and assessing each piece of information we have and releasing certain pieces of data we deem necessary. One could look at the algorithms in our lives as the standards we have created or been taught, which we thus compare new information, such as facts, scenarios, social cues, questionable situations, etc to. We compare the data with our programmed beliefs to decide how to act. Just as algorithms consist of a specific list of rules, we create routines for ourselves, working in loops of consistent reactions to each new piece of data. That being said, we must consider that algorithms are constantly evolving, and likewise, the way we process information and react to it may be altered as well. For example, if one taught themselves to cope with emotions by eating sweets, that person would consistently run that function until their process is reprogrammed to cope with emotions by exercising. "
3,A,"In our current world, the use of data is both the most interesting and the most manipulated part of obtaining information. We can twist and adjust data to align with our interests, presenting a narrative that we choose. Data, artificial intelligence (AI), and computing are all intertwined, impacting our everyday lives in ways we often take for granted.
As a human, I am a constant source of data. But beyond the physical world, with digital interaction from social media to online shopping preferences, the technology I use contributes to a vast pool of information about me. This personal data, when processed and analyzed, provides insights into my behavior, preferences, and routines. For instance, my smartphone tracks my location and learns about the places I frequently visit. It might recommend a new restaurant nearby, based on my past dining preferences and search history. Similarly, music streaming services like Spotify use algorithms to understand my musical tastes and suggest new songs or artists I might enjoy.
Artificial intelligence algorithms alter the way I do things by helping me make decisions, often without me even realizing it. The advertisements I see online are not random; they are targeted based on my browsing history, demographic information, and interests. Search engines like Google use complex algorithms to present the most relevant information based on my search queries. Even my email service uses AI to filter spam messages, ensuring that only relevant emails reach my inbox.
The intersection of data, AI, and computing also affects the way I consume news and information. Social media platforms use algorithms to curate content based on my interactions, essentially shaping my online experience and worldview. The recommendations on my Netflix account are determined by an AI that analyzes my viewing history and ratings.
In conclusion, data, AI, and computing are integral parts of my everyday life. They shape my experiences, influence my decisions, and streamline my interactions in the digital world. While this convergence brings numerous conveniences, it also highlights the importance of responsible data management and algorithmic transparency. As humanity continues to navigate this data-driven era, we must strive to use these powerful tools ethically and thoughtfully."
4,A,"In my everyday life I do not really take notice to the intersection of data, AI, and computing because it is something I have always grown up around. I did not really know what each meant and how it effected me until I took a step back and realized how prevalent it was in my life. I am constantly on my phone using Tik Tok and Instagram so data is constantly being collected about me. I even started to notice that my frequently used apps would be recommend to me on my phones search bar. I feel like the algorithm’s greatly effect what I am seeing on social media. When I online shop on my computer I always find items in my cart end up as targeted ads on my phone usually appearing through Instagram. I feel like I have the least amount of experience with AI. Earlier this month snapchat AI was put on my phone without me even realizing it and I have yet to interact with it. The snapchat AI has almost been taken advantage of as a joke. When I scroll through my Tik Tok feed I see people typing outlandish thing into snapchat AI just to see their reaction and laugh at it. When it comes to computing I first interrupted it as math and calculators. I did not realize that computing was more like following a set of rules than it was completing a mathematical problem. I thought the example used in class about the self driving cars was really helpful in further understand the definition of computing. An example where I see computing most would be in my daily routine. I love to make a unique plan for the day and tend to make myself and the others around my stick to it. "
5,A,"The advancement of the human race has been linked to the remarkable progress in the intersection of data, artificial intelligence, and computing, significantly impacting our everyday lives. We have become active sources of data through our digital interactions, from social media posts and online shopping preferences to health and fitness tracking. The sheer volume of this data provides valuable insights that drive decision-making processes and shape various aspects of our lives. For instance, personalized advertisements tailored to our interests are a result of algorithms analyzing our online behavior and preferences. These algorithms, powered by artificial intelligence, alter the way we make purchasing decisions and influence our consumer experiences.

Moreover, data-driven technologies have revolutionized fields like healthcare. With the integration of AI and computing, medical professionals can now leverage vast amounts of patient data to enhance diagnoses and treatment plans. AI algorithms can analyze medical images, such as X-rays and MRIs, more accurately and efficiently than human experts, leading to improved disease detection rates and faster diagnoses. Additionally, wearable devices and health apps collect real-time data on our vitals and physical activities, empowering individuals to proactively monitor their well-being and make informed lifestyle choices.

The fusion of data, AI, and computing has also transformed transportation systems. Ride-sharing platforms utilize algorithms to match drivers with passengers, optimizing route planning and reducing wait times. Navigation apps employ real-time traffic data to suggest alternative routes, helping us navigate congested areas swiftly. Furthermore, the emergence of autonomous vehicles relies heavily on data processing and AI capabilities. These vehicles utilize sensors and cameras to gather information about the environment, enabling them to make split-second decisions for safe and efficient travel.

In the realm of entertainment, streaming platforms employ recommendation systems to curate personalized content based on our viewing history and preferences. These algorithms analyze vast datasets to suggest movies, TV shows, or music tailored to our tastes, making it easier to discover new content that aligns with our interests. Additionally, AI-powered voice assistants have become indispensable companions, helping us manage tasks, provide information, and control smart devices through natural language interactions.

In conclusion, the convergence of data, artificial intelligence, and computing has become deeply embedded in our everyday lives. We generate data as active participants in the digital world, while algorithms utilize this data to personalize our experiences and inform decision-making processes. From personalized advertisements and healthcare advancements to efficient transportation systems and tailored entertainment recommendations, the impact of data-driven technologies is pervasive, shaping and enhancing our daily routines in remarkable ways."
6,A,"Every day we are working with, sharing, and interacting with data, artificial intelligence, and computing. The most common interaction I experience with these three are on websites and social media. For instance, most websites I go to now ask one simple question ""click below whether you accept these cookies or not"" yet this simple question is collecting tons of data on you that will be used and sold by others. So in essence, this is how we can be a source of data. Every time you get on a website that asks this, you are essentially selling yourself, who you are, what you like, your location-- your data-- to these companies. Not only is data collection through accepting cookies on websites a large interaction I have with data but so is social media. It is common place to see specific ads and targeted information such as specific posts on social media because they are also collecting data on you and in addition have their own algorithms they have computed that essentially formulated to what they want you to see. The use of algorithms on social media specifically alters many decisions I make and perceptions I have. They intentionally push more popular context in products and influencers which I personally think has done more bad than good. Finally, I have been more effected in my day to day life by AI than ever before. Though this isn't something I use daily, it is something that is about to become a core part of all of our lives. It will most likely affect every job and has effected my thoughts about the future a lot as to how we can harness AI for something good and productive to our society without letting it take over core elements of human nature. I'm looking forward to this course as data and AI effects every day of our lives and so we should have a good understanding of this underlying element that is controlling large parts of our lives without us even knowing."
7,A,"One clear interaction of data that we see in our everyday life is through the use of social media. Everything we view on our phones through apps like Instagram, Snapchat, and TikTok, is linked to the things we see around us. These apps take our data and enter it into an algorithm that then shows us things that they believe we would find interesting. This algorithm goes through your browsing history, demographic information, and buying habits to personally recommend things that spark your interest. It will also take things that someone close to you may have bought or viewed and show it to you assuming that you guys have similar interest. The longer you view an ad it makes adjustments to improve the outcome. If people view the ad for a short amount of time or exit out of it too fast then the algorithm may adjust the target audience to improve the performance. This has however, sparked concern with how much information is being used for advertisements with consumers privacy. 

Another interaction with AI algorithms is through traffic predictions. When using apps like Google Maps and Waze to get to a location, they use data to predict real-time traffic and will recommend different routes. In doing this, it takes the average amount of time it should take for you to drive to a certain place, then sees how long it is taking someone else and how many people seem to be on that rode. This is how it gets estimates on your ETA as it analyzes data on traffic and weather. AI is also able to analyze data on accident history and areas that have a higher probability of accidents. This can alert drivers about potential hazards that can cause accidents or direct them a different way if there is an accident. "
8,A,"The intersection of data, artificial intelligence and computing has an increasingly large effect on my daily life through the technology I use. Everyday there numerous devices I use that gather data about me, my daily habits/actions and interests. My fitness watch even collects data while I sleep. It uses that data to compile reports about my sleep and gives me tips on how I can improve such. Complex programs like these as well as artificial intelligence are capable of analyzing massive amounts of data collect from not only ourselves but the people around us, and provide ways to improve our efficiency. Google Maps is a program I use on a daily basis to ensure I am always taking the most efficient routes when driving anywhere over a couple miles away. Even though I am capable of driving home without looking up directions, utilizing a computing program like Google Maps allows me to save time and gas by using data to find the quickest way home while avoiding traffic. Another popular way humans create data on a daily basis is through their browser history which is collected, analyzed and sold to companies to target ads. This changes the way many people find products online and ultimately influences which products they buy and use. Overall, all of these intersections between data, artificial intelligence and complex algorithms provide ways for humans to optimize their lives and technology use. As technology becomes a larger and larger part of our lives it’s important that we embrace these intersections. While it is reasonable to have some concerns about privacy, the main purpose of these interactions and data collection is to optimize the economy, technology we use and our daily lives. "
9,A,"By living, we create data points. This pre-existed the idea of data (in my opinion) because humans innately work to assign meaning to data gathered from sensory receptors. Before computerization, the task of quantifying life was impossible, handled by the Immanuel Kants and Aristotles of the world as they tried to formulaically 'determine' the nature of life. Now, the data we leave with our actions, choices, and even thoughts (I firmly view the phone/digital ecosystem as an extension of the mind) can be compiled and quantified into algorithms to determine buying, listening, reading, driving (etc. truly) habits. The phrase ""people are not numbers"" has never felt so contestable, especially given instances where algorithms can successfully detect a medical condition or pregnancy based solely on the actions (data points) of the subject. Thus, the data 'world' really is an interesting ecosystem where by even living you are being influenced by the yields of data while contributing to a broader algorithm's ability to accurately understand human behavior. To avoid going into a philosophy rabbit hole about epistemic asymptotes and what AI shows us about the nature of humanity, I started thinking about how this looks specifically in my music listening.

Spotify knows a lot about me from their own data and how that information extends to other data in an interconnected web. When I created an account, I imagine they already had a pretty good idea of the kinds of things I would listen to solely from historical data attached to my hardware and digital activity. While these algorithms are predictive, they obviously cannot predict exactly what I want to listen to, so they do what I do to get better at working with data: observe. The more I make decisions that can be data-ified, the more Spotify knows about my listening habits: they know what kinds of songs I listen to when driving, what kind of songs I skip while driving, which artists I listen to when I'm sad, what my friends are listening to, the list truly goes on. My data can then be contextualized with the data of every single other user with varying degrees of similarities to form profiles of people and their behavior in a way that can be understood by a machine founded upon 1s and 0s. The algorithm is constantly getting more personalized while using personalized data to improve the overall soundness of the algorithm. Using what it (and I should probably specify all of its data-syndicate friends) knows about me, others, and the songs, Spotify gets better and better at compiling personalized playlists, presenting me with information (new albums, new recommended playlists), and even shifting what songs 'shuffle' lands on to give me the experience their algorithm assumes I want. I bet if I were to look up an ex's Instagram, scroll for a second, and then open Spotify, that would be enough for Spotify to be really pushy about listening to some Frank Ocean (because that's what sad people do)."
10,A,"For me, the intersection between data, AI, and computing affects me through the constant use of social media. For example, the Instagram algorithm checks for what I interact with, whether I share/ like/ or comment, or even how long I look at something. Instagram stores it away and applies my data to other posts. If I like a lot of content, Instagram will continue to feed me similar content to keep me engaged. I don't think that I would alter much of how I act on social media, though I do know that if I interact with a lot of posts that give false information, that I will continue to get that content. Similarly, on youtube, everytime you sign in and get youtube recommendations, it is normally based off of videos that you have watched before. Youtube  also compares me to  people who watched similar videos and then recommends videos that they have watched as well. I can only assume that my data is being used in similar ways. As stated earlier, I do not think I would alter how I do things. I know that companies track my phone to send targeted ads associated with the places that I frequent, or even just to update traffic or wait times at restaurants. It would be very hard to change my life enough to not be affected by AI or data collection, as a lot of what I use is dependent on it. I rely heavily on GPS apps to get places as quickly as possible, and I would need to be tracked one way or another to do so. I am not overly concerned with my data being used, and that may be due to growing up with it, but in this day and age, data collection exsists in so many different forms that I will always be data in some form or another."
